Study.num,studlab,n,design,pub type ,protocol/registry cited,protocol registery foun,connected to another study study,which studies,control,trt1,trt2,trt3,comparison,ctrl.group,trt1.group2,trt2.group,trt3.group,comp.by.group,method,speculum,scleral.dep,dose.timing,exam.number,avg.ga,avg.pma,avg.bw,stdy.level.imputed,Containment vs Swaddle,Overall risk of bias objective,Overall risk of bias subjective,Sequence Generation,Allocation concealment,Blinding personnel,Blinding outcomes objective,Blinding subjective outcomes,Incomplete outcome,ev_io,Selective reporting,ev_sr,other,pipp.rescale,notes
1,Boyle 2006,40,Parallel,journal,0,0,0,na,drops,sweet.drops,NNS.drops,sweet.nns.drops,drops vs sweet.drops vs NNS.drops vs sweet.nns.drops,drops,drops.sweet,drops.phys,drops.mult,drops vs drops.sweet vs drops.phys vs drops.mult,BIO,yes,yes,2min.pre,first only,28.7,34.9,1132.8,yes,Containment,NA,high,unclear,unclear,high,NA,high,low,,low,,low,no,NNS is not able to be blinded
2,Cogen 2011,39,Parallel,journal,0,0,0,na,no treatment,drops,,,no treatment vs drops,plac,drops,,,plac vs drops,BIO,yes,yes,immediately before,not reported,0.0,34.0,924.0,no,Containment,NA,Unclear,unclear,unclear,low,low,low,low,,low,,high,no,Other is high because it is unclear how they handled paired data
3,Costa 2013,124,Parallel,journal,0,0,0,na,drops,sweet.drops,,,drops vs sweet.drops,drops,drops.sweet,,,drops vs drops.sweet,BIO,yes,yes,2min.pre,first only,30.2,35.2,1260.9,yes,Containment,low,unclear,low,unclear,low,low,low,low,,low,,low,yes,
4,Dhaliwal 2010,76,Crossover,journal,0,1,0,na,drops,WFDRI.drops,,,drops vs WFDRI.drops,drops,WFDRI,,,drops vs WFDRI,WFDRI,yes,no,2min.pre,any,28.6,34.1,1208.0,no,Containment,Unclear,high,unclear,unclear,high,low,high,low,,low,,high,no,No discussion of washout effect
5,Dilli 2014,64,Parallel,journal,0,0,0,na,NNS.drops,sweet.nns.drops,,,NNS.drops vs sweet.nns.drops,drops.phys,drops.mult,,,drops.phys vs drops.mult,BIO,yes,unclear,2min.pre,first only,28.5,35.4,1304.0,no,Containment,low,low,unclear,unclear,low,low,low,low,,low,,low,no,
6,Gal 2005,23,Crossover,journal,0,0,0,na,drops,sweet.drops,,,drops vs sweet.drops,drops,drops.sweet,,,drops vs drops.sweet,BIO,yes,yes,2min.pre,any,26.4,33.3,0.0,yes,Swaddle,low,low,low,unclear,low,low,low,low,,low,,low,no,contrast data?
7,Grabska 2005,32,Parallel,journal,0,0,0,na,NNS.drops,sweet.nns.drops,,,NNS.drops vs sweet.nns.drops,drops.phys,drops.mult,,,drops.phys vs drops.mult,BIO,yes,yes,2min.pre,unclear,28.0,35.3,1880.0,yes,Swaddle,low,low,unclear,unclear,low,low,low,low,,low,,low,no,
8,Kabatas 2016,114,Parallel,journal,1,1,0,na,drops,paracetamol.drops,,,drops vs paracetamol.drops,drops,drops.paracetamol,,,drops vs drops.paracetamol,BIO,yes,unclear,60min.pre,first only,28.1,32.4,1130.3,no,Containment,low,low,low,unclear,low,low,low,low,,low,,low,no,
9,Kleberg 2008,36,Crossover,journal,0,0,0,na,drops,NIDCAP,,,drops vs NIDCAP,drops,drops.mult,,,drops vs drops.mult,BIO or WFDRI,yes,yes in London,2min.pre,any,#VALUE!,#VALUE!,#VALUE!,no,Containment,unclear,high,unclear,unclear,high,low,high,low,,low,,high,no,contrast data?
10,Mandel 2012,41,Parallel,journal,1,1,0,na,sweet.drops,NO.sweet.drops,,,sweet.drops vs NO.sweet.drops,drops.sweet,drops.sweet.NO2,,,drops.sweet vs drops.sweet.NO2,BIO,yes,yes,5 min. pre,any,27.9,35.2,1025.4,no,Swaddle,low,low,low,unclear,low,low,low,low,,low,,low,no,
