"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","drops_sweet_mult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","-0.84 (-2.88 to 1.19)","drops_sweet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","-1.06 (-3.27 to 1.24)","-0.23 (-2.78 to 2.47)","drops_ebm_mult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","-0.94 (-4.81 to 2.92)","-0.1 (-3.39 to 3.2)","0.12 (-4.15 to 4.3)","drops_N2O_sweet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","-1.53 (-4.94 to 1.96)","-0.7 (-4 to 2.76)","-0.48 (-4.24 to 3.29)","-0.61 (-5.26 to 4.2)","drops_acet60",NA,NA,NA,NA,NA,NA,NA,NA
"6","-1.61 (-2.77 to -0.34)","-0.77 (-2.88 to 1.47)","-0.55 (-2.87 to 1.78)","-0.67 (-4.57 to 3.32)","-0.08 (-3.62 to 3.46)","drops_phys",NA,NA,NA,NA,NA,NA,NA
"7","-2.25 (-5.87 to 1.55)","-1.41 (-4.98 to 2.35)","-1.18 (-5.2 to 2.85)","-1.3 (-6.15 to 3.7)","-0.72 (-5.19 to 3.81)","-0.64 (-4.43 to 3.23)","sweet",NA,NA,NA,NA,NA,NA
"8","-3.37 (-7.71 to 1.14)","-2.54 (-6.84 to 1.97)","-2.31 (-6.98 to 2.48)","-2.44 (-7.84 to 3.15)","-1.82 (-6.91 to 3.28)","-1.76 (-6.26 to 2.79)","-1.15 (-6.36 to 4.21)","sweet_rep",NA,NA,NA,NA,NA
"9","-3.33 (-6.67 to 0.11)","-2.5 (-5.76 to 0.9)","-2.27 (-6.03 to 1.46)","-2.39 (-7.02 to 2.34)","-1.79 (-6.03 to 2.45)","-1.72 (-5.21 to 1.77)","-1.09 (-5.56 to 3.35)","0.04 (-5.06 to 5.08)","drops_WFDRI",NA,NA,NA,NA
"10","-3.58 (-7.99 to 0.98)","-2.75 (-7.05 to 1.78)","-2.52 (-7.21 to 2.27)","-2.64 (-8.06 to 2.98)","-2.06 (-7.15 to 3.15)","-1.96 (-6.5 to 2.62)","-1.34 (-6.64 to 4.03)","-0.2 (-3.48 to 3.12)","-0.24 (-5.31 to 4.93)","sweet_sing",NA,NA,NA
"11","-3.54 (-5.14 to -1.83)","-2.71 (-4.14 to -1.11)","-2.48 (-4.74 to -0.19)","-2.61 (-6.16 to 1.1)","-2 (-5.04 to 1.03)","-1.93 (-3.78 to -0.07)","-1.29 (-4.65 to 2.01)","-0.18 (-4.33 to 3.93)","-0.21 (-3.17 to 2.77)","0.04 (-4.17 to 4.18)","drops",NA,NA
"12","-3.72 (-6.86 to -0.56)","-2.89 (-5.61 to -0.09)","-2.65 (-6.26 to 0.83)","-2.77 (-7.08 to 1.51)","-2.17 (-6.37 to 1.85)","-2.1 (-5.39 to 1.1)","-1.47 (-5.84 to 2.83)","-0.34 (-5.37 to 4.55)","-0.38 (-4.48 to 3.61)","-0.14 (-5.22 to 4.77)","-0.17 (-2.99 to 2.55)","drops_acet30",NA
"13","-5.76 (-8.75 to -2.67)","-4.93 (-7.81 to -1.85)","-4.7 (-8.1 to -1.25)","-4.84 (-9.18 to -0.27)","-4.23 (-8.15 to -0.24)","-4.14 (-7.31 to -0.98)","-3.53 (-7.71 to 0.67)","-2.39 (-5.65 to 0.86)","-2.44 (-6.3 to 1.54)","-2.18 (-5.5 to 1.11)","-2.22 (-4.79 to 0.35)","-2.05 (-5.73 to 1.79)","placebo"
