"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","drops_sweet_mult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","-0.84 (-2.9 to 1.19)","drops_sweet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","-1.05 (-3.27 to 1.24)","-0.21 (-2.8 to 2.45)","drops_ebm_mult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","-0.94 (-4.81 to 2.97)","-0.1 (-3.4 to 3.22)","0.11 (-4.15 to 4.3)","drops_N2O_sweet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","-1.53 (-4.91 to 1.96)","-0.7 (-4.02 to 2.75)","-0.48 (-4.22 to 3.31)","-0.59 (-5.26 to 4.14)","drops_acet60",NA,NA,NA,NA,NA,NA,NA,NA
"6","-1.6 (-2.76 to -0.35)","-0.76 (-2.86 to 1.46)","-0.55 (-2.85 to 1.76)","-0.67 (-4.58 to 3.36)","-0.07 (-3.6 to 3.45)","drops_phys",NA,NA,NA,NA,NA,NA,NA
"7","-2.24 (-5.92 to 1.5)","-1.4 (-5 to 2.3)","-1.19 (-5.22 to 2.85)","-1.3 (-6.15 to 3.67)","-0.7 (-5.21 to 3.81)","-0.65 (-4.46 to 3.16)","sweet",NA,NA,NA,NA,NA,NA
"8","-3.37 (-7.78 to 1.2)","-2.55 (-6.88 to 1.96)","-2.34 (-7.03 to 2.46)","-2.46 (-7.87 to 3.23)","-1.85 (-6.95 to 3.37)","-1.78 (-6.31 to 2.81)","-1.13 (-6.42 to 4.23)","sweet_rep",NA,NA,NA,NA,NA
"9","-3.34 (-6.69 to 0.11)","-2.5 (-5.78 to 0.88)","-2.28 (-6 to 1.45)","-2.4 (-7.06 to 2.34)","-1.79 (-6.05 to 2.44)","-1.73 (-5.24 to 1.75)","-1.09 (-5.5 to 3.34)","0.05 (-5.15 to 5.12)","drops_WFDRI",NA,NA,NA,NA
"10","-3.57 (-8.02 to 0.99)","-2.73 (-7.13 to 1.8)","-2.51 (-7.25 to 2.27)","-2.64 (-8.15 to 3.01)","-2.04 (-7.2 to 3.16)","-1.96 (-6.55 to 2.61)","-1.32 (-6.66 to 4.03)","-0.2 (-3.5 to 3.1)","-0.24 (-5.34 to 4.94)","sweet_sing",NA,NA,NA
"11","-3.54 (-5.16 to -1.84)","-2.71 (-4.15 to -1.13)","-2.49 (-4.74 to -0.22)","-2.6 (-6.19 to 1.07)","-2.01 (-5.03 to 1)","-1.94 (-3.81 to -0.1)","-1.3 (-4.6 to 2.05)","-0.16 (-4.36 to 3.96)","-0.21 (-3.15 to 2.79)","0.04 (-4.19 to 4.22)","drops",NA,NA
"12","-3.72 (-6.87 to -0.55)","-2.88 (-5.61 to -0.06)","-2.66 (-6.24 to 0.86)","-2.79 (-7.08 to 1.56)","-2.17 (-6.32 to 1.84)","-2.11 (-5.43 to 1.09)","-1.47 (-5.86 to 2.79)","-0.33 (-5.43 to 4.57)","-0.38 (-4.46 to 3.65)","-0.14 (-5.24 to 4.82)","-0.18 (-2.96 to 2.53)","drops_acet30",NA
"13","-5.77 (-8.74 to -2.64)","-4.94 (-7.84 to -1.85)","-4.73 (-8.1 to -1.27)","-4.84 (-9.18 to -0.29)","-4.25 (-8.15 to -0.22)","-4.17 (-7.29 to -1)","-3.53 (-7.7 to 0.71)","-2.39 (-5.66 to 0.9)","-2.45 (-6.32 to 1.56)","-2.21 (-5.5 to 1.14)","-2.24 (-4.77 to 0.37)","-2.07 (-5.74 to 1.79)","placebo"
